data_type,year,source_index,destination,value
depot_location,20182019,1,,1.0
depot_location,20182019,2,,1.0
depot_location,20182019,3,,1.0
depot_location,20182019,4,,1.0
depot_location,20182019,5,,1.0
depot_location,20182019,6,,1.0
depot_location,20182019,7,,1.0
depot_location,20182019,8,,1.0
depot_location,20182019,9,,1.0
depot_location,20182019,10,,-0.0
depot_location,20182019,11,,1.0
depot_location,20182019,12,,-0.0
depot_location,20182019,13,,-0.0
depot_location,20182019,14,,0.0
depot_location,20182019,15,,-0.0
depot_location,20182019,16,,0.0
depot_location,20182019,17,,-0.0
depot_location,20182019,18,,0.0
depot_location,20182019,19,,0.0
depot_location,20182019,20,,1.0
depot_location,20182019,21,,1.0
depot_location,20182019,22,,-0.0
depot_location,20182019,23,,0.0
depot_location,20182019,24,,0.0
depot_location,20182019,25,,0.0
depot_location,20182019,26,,0.0
depot_location,20182019,27,,-0.0
depot_location,20182019,28,,-0.0
depot_location,20182019,29,,-0.0
depot_location,20182019,30,,-0.0
depot_location,20182019,31,,-0.0
depot_location,20182019,32,,0.0
depot_location,20182019,33,,-0.0
depot_location,20182019,34,,-0.0
depot_location,20182019,35,,1.0
depot_location,20182019,36,,1.0
depot_location,20182019,37,,0.0
depot_location,20182019,38,,-0.0
depot_location,20182019,39,,0.0
depot_location,20182019,40,,0.0
depot_location,20182019,41,,-0.0
depot_location,20182019,42,,0.0
depot_location,20182019,43,,-0.0
depot_location,20182019,44,,-0.0
depot_location,20182019,45,,-0.0
depot_location,20182019,46,,-0.0
depot_location,20182019,47,,-0.0
depot_location,20182019,48,,-0.0
depot_location,20182019,49,,-0.0
depot_location,20182019,50,,-0.0
depot_location,20182019,51,,0.0
depot_location,20182019,52,,1.0
depot_location,20182019,53,,0.0
depot_location,20182019,54,,0.0
depot_location,20182019,55,,1.0
depot_location,20182019,56,,1.0
depot_location,20182019,57,,1.0
depot_location,20182019,58,,1.0
depot_location,20182019,59,,0.0
depot_location,20182019,60,,0.0
depot_location,20182019,61,,0.0
depot_location,20182019,62,,-0.0
depot_location,20182019,63,,-0.0
depot_location,20182019,64,,-0.0
depot_location,20182019,65,,-0.0
depot_location,20182019,66,,-0.0
depot_location,20182019,67,,-0.0
depot_location,20182019,68,,-0.0
depot_location,20182019,69,,-0.0
depot_location,20182019,70,,0.0
depot_location,20182019,71,,-0.0
depot_location,20182019,72,,1.0
depot_location,20182019,73,,1.0
depot_location,20182019,74,,0.0
depot_location,20182019,75,,0.0
depot_location,20182019,76,,1.0
depot_location,20182019,77,,1.0
depot_location,20182019,78,,-0.0
depot_location,20182019,79,,-0.0
depot_location,20182019,80,,0.0
depot_location,20182019,81,,0.0
depot_location,20182019,82,,-0.0
depot_location,20182019,83,,-0.0
depot_location,20182019,84,,-0.0
depot_location,20182019,85,,-0.0
depot_location,20182019,86,,-0.0
depot_location,20182019,87,,-0.0
depot_location,20182019,88,,-0.0
depot_location,20182019,89,,-0.0
depot_location,20182019,90,,-0.0
depot_location,20182019,91,,-0.0
depot_location,20182019,92,,-0.0
depot_location,20182019,93,,-0.0
depot_location,20182019,94,,-0.0
depot_location,20182019,95,,0.0
depot_location,20182019,96,,1.0
depot_location,20182019,97,,0.0
depot_location,20182019,98,,-0.0
depot_location,20182019,99,,1.0
depot_location,20182019,100,,0.0
refinery_location,20182019,1,,1.0
refinery_location,20182019,2,,0.0
refinery_location,20182019,3,,0.0
refinery_location,20182019,4,,0.0
refinery_location,20182019,5,,0.0
refinery_location,20182019,6,,0.0
refinery_location,20182019,7,,0.0
refinery_location,20182019,8,,0.0
refinery_location,20182019,9,,0.0
refinery_location,20182019,10,,0.0
refinery_location,20182019,11,,0.0
refinery_location,20182019,12,,0.0
refinery_location,20182019,13,,0.0
refinery_location,20182019,14,,0.0
refinery_location,20182019,15,,0.0
refinery_location,20182019,16,,0.0
refinery_location,20182019,17,,0.0
