year,data_type,source_index,destination_index,value
20182019,depot_location,1969,,
20182019,depot_location,1072,,
20182019,depot_location,1221,,
20182019,depot_location,1198,,
20182019,depot_location,756,,
20182019,depot_location,382,,
20182019,depot_location,1207,,
20182019,depot_location,1724,,
20182019,depot_location,346,,
20182019,depot_location,873,,
20182019,depot_location,1701,,
20182019,depot_location,1172,,
20182019,depot_location,1741,,
20182019,depot_location,1601,,
20182019,refinery_location,749,,
20182019,refinery_location,1580,,
20182019,refinery_location,1360,,
2018,biomass_forecast,0,,7.48
2018,biomass_forecast,1,,47.52
2018,biomass_forecast,2,,57.07
2018,biomass_forecast,3,,74.99
2018,biomass_forecast,4,,17.52
2018,biomass_forecast,5,,24.96
2018,biomass_forecast,6,,39.77
2018,biomass_forecast,7,,70.31
2018,biomass_forecast,8,,33.43
2018,biomass_forecast,9,,40.0
2018,biomass_forecast,10,,8.02
2018,biomass_forecast,11,,4.31
2018,biomass_forecast,12,,3.5
2018,biomass_forecast,13,,0.2
2018,biomass_forecast,14,,0.42
2018,biomass_forecast,15,,31.46
2018,biomass_forecast,16,,107.78
2018,biomass_forecast,17,,132.09
2018,biomass_forecast,18,,123.69
2018,biomass_forecast,19,,64.31
2018,biomass_forecast,20,,87.01
2018,biomass_forecast,21,,96.44
2018,biomass_forecast,22,,116.02
2018,biomass_forecast,23,,127.19
2018,biomass_forecast,24,,99.08
2018,biomass_forecast,25,,70.11
2018,biomass_forecast,26,,50.26
2018,biomass_forecast,27,,31.05
2018,biomass_forecast,28,,3.77
2018,biomass_forecast,29,,0.26
2018,biomass_forecast,30,,26.06
2018,biomass_forecast,31,,99.65
2018,biomass_forecast,32,,146.69
2018,biomass_forecast,33,,128.79
2018,biomass_forecast,34,,112.95
2018,biomass_forecast,35,,100.16
2018,biomass_forecast,36,,166.32
2018,biomass_forecast,37,,135.85
2018,biomass_forecast,38,,98.07
2018,biomass_forecast,39,,67.13
2018,biomass_forecast,40,,92.96
2018,biomass_forecast,41,,91.95
2018,biomass_forecast,42,,88.9
2018,biomass_forecast,43,,22.94
2018,biomass_forecast,44,,1.82
2018,biomass_forecast,45,,0.21
2018,biomass_forecast,46,,0.53
2018,biomass_forecast,47,,19.92
2018,biomass_forecast,48,,80.33
2018,biomass_forecast,49,,141.61
2018,biomass_forecast,50,,103.49
2018,biomass_forecast,51,,88.04
2018,biomass_forecast,52,,106.37
2018,biomass_forecast,53,,137.34
2018,biomass_forecast,54,,123.75
2018,biomass_forecast,55,,123.0
2018,biomass_forecast,56,,166.08
2018,biomass_forecast,57,,123.07
2018,biomass_forecast,58,,105.81
2018,biomass_forecast,59,,103.42
2018,biomass_forecast,60,,68.08
2018,biomass_forecast,61,,22.77
2018,biomass_forecast,62,,7.29
2018,biomass_forecast,63,,22.37
2018,biomass_forecast,64,,7.58
2018,biomass_forecast,65,,4.36
2018,biomass_forecast,66,,6.65
2018,biomass_forecast,67,,0.39
2018,biomass_forecast,68,,0.17
2018,biomass_forecast,69,,11.14
2018,biomass_forecast,70,,106.16
2018,biomass_forecast,71,,163.8
2018,biomass_forecast,72,,106.21
2018,biomass_forecast,73,,94.26
2018,biomass_forecast,74,,146.53
2018,biomass_forecast,75,,176.33
2018,biomass_forecast,76,,112.52
2018,biomass_forecast,77,,104.79
2018,biomass_forecast,78,,179.8
2018,biomass_forecast,79,,178.33
2018,biomass_forecast,80,,103.42
2018,biomass_forecast,81,,33.29
2018,biomass_forecast,82,,43.23
2018,biomass_forecast,83,,25.93
2018,biomass_forecast,84,,72.66
2018,biomass_forecast,85,,44.93
2018,biomass_forecast,86,,5.29
2018,biomass_forecast,87,,11.83
2018,biomass_forecast,88,,40.05
2018,biomass_forecast,89,,7.96
2018,biomass_forecast,90,,0.12
2018,biomass_forecast,91,,2.28
2018,biomass_forecast,92,,79.03
2018,biomass_forecast,93,,143.71
2018,biomass_forecast,94,,126.81
2018,biomass_forecast,95,,80.65
2018,biomass_forecast,96,,158.71
2018,biomass_forecast,97,,146.43
